day,full_release,rolling_release,full_storage,rolling_storage
1,10.0,10.0,932000.0,932000.0
2,11.212962962962964,11.212962962962964,1000000.0,1000000.0
3,10.0,10.0,1000000.0,1000000.0
4,10.0,10.0,827200.0,827200.0
5,10.0,10.0,1000000.0,1000000.0
6,25.416666666666668,25.416666666666668,99999.99999999988,100000.0
7,18.0,18.0,99999.99999999988,100000.0
