scenario,revenue,deficit,terminal_storage,storage_min,storage_max
43,43905.77777777778,0.0,332961.928008522,-204313.08260510606,1026357.788552811
44,43905.77777777778,0.0,-84354.33967587235,-488720.21041103685,781546.5007661933
45,43905.77777777778,0.0,1607339.2227336674,1083024.2387232138,2136014.7534777434
46,43905.77777777778,0.0,-47634.939788372605,-47634.939788372605,936927.7492203682
47,43905.77777777778,0.0,267043.7424622556,267043.7424622556,1773895.0961714108
48,43905.77777777778,0.0,-287530.2906357419,-287530.2906357419,1289196.0353060444
49,43905.77777777778,0.0,-99292.78384078236,-121698.10645904345,1090376.643958909
50,43905.77777777778,0.0,275836.14848804957,-183243.0434185136,1442417.6015557966
51,43905.77777777778,0.0,739689.6154409054,666781.561775903,1506419.578956349
52,43905.77777777778,0.0,-46120.043733357685,-46120.043733357685,1002072.9676218234
53,43905.77777777778,0.0,397001.20700820367,393447.24668661633,1274792.28170373
54,43905.77777777778,0.0,650507.621377225,650507.621377225,2226861.1048556725
55,43905.77777777778,0.0,-534144.7819321074,-534144.7819321074,1347822.730505243
56,43905.77777777778,0.0,-760729.0832217585,-777635.2224215828,975902.5794871405
57,43905.77777777778,0.0,595286.07866737,430414.75263709005,1271003.1644664644
58,43905.77777777778,0.0,-1708.881188022322,-1708.881188022322,845891.063963574
59,43905.77777777778,0.0,-1405269.6617128432,-1405269.6617128432,1141542.1387826605
60,43905.77777777778,0.0,1098339.0585068702,677319.7034152047,1595240.25609622
61,43905.77777777778,0.0,-384159.6912152526,-634106.7756427731,955879.2298661212
62,43905.77777777778,0.0,-321579.24609032914,-321579.24609032914,1378023.540238223
63,43905.77777777778,0.0,-108604.43995177292,-108604.43995177292,1172614.5802145512
64,43905.77777777778,0.0,308337.6156272765,308337.6156272765,1388447.6406975714
65,43905.77777777778,0.0,1458449.2800680166,1220902.361634456,1798515.6186655844
66,43905.77777777778,0.0,81395.03754414851,81395.03754414851,1264690.5608400158
67,43905.77777777778,0.0,-213018.69799724687,-557026.8757732131,519984.1057343153
68,43905.77777777778,0.0,-93531.44751200709,-93531.44751200709,822726.8073444804
69,43905.77777777778,0.0,945369.2644147566,916902.8281957619,1445413.6280834419
70,43905.77777777778,0.0,177093.2656311345,-29930.366271794774,1138762.8599202146
71,43905.77777777778,0.0,79449.58637049282,79449.58637049282,1357310.3441570916
72,43905.77777777778,0.0,-937812.795511781,-937812.795511781,845010.5701836469
73,43905.77777777778,0.0,-783743.5925381158,-783743.5925381158,537142.6108228839
74,43905.77777777778,0.0,168588.7021619209,168588.7021619209,1109469.9129333836
75,43905.77777777778,0.0,1044169.7192939658,607525.1135055837,1570490.119319325
76,43905.77777777778,0.0,283393.70035659516,283393.70035659516,1569891.2248266235
77,43905.77777777778,0.0,-663828.3688012082,-663828.3688012082,977528.125284412
78,43905.77777777778,0.0,-714471.7636839354,-714471.7636839354,728122.1510929994
79,43905.77777777778,0.0,473631.5500898339,381433.6951183084,1137180.226757181
80,43905.77777777778,0.0,-360869.0711029386,-360869.0711029386,1509431.1527584442
81,43905.77777777778,0.0,382669.86020204023,382669.86020204023,1140671.105082179
82,43905.77777777778,0.0,-349238.89723816095,-349238.89723816095,976967.9848837727
83,43905.77777777778,0.0,-456791.77741843916,-456791.77741843916,1098582.9864560664
84,43905.77777777778,0.0,-498453.4706340481,-498453.4706340481,967009.6818486853
85,43905.77777777778,0.0,-130625.47364115599,-130625.47364115599,1595974.2636642377
86,43905.77777777778,0.0,-358022.95527108805,-358022.95527108805,922669.4568394824
87,43905.77777777778,0.0,15058.68094344181,15058.68094344181,1323199.5154105485
88,43905.77777777778,0.0,-646648.6841318891,-646648.6841318891,1071458.5268294027
89,43905.77777777778,0.0,430236.82192162436,346593.9831556727,1238271.6740624066
90,43905.77777777778,0.0,-849641.5567338713,-849641.5567338713,1070549.5422096602
91,43905.77777777778,0.0,510759.63614043733,510759.63614043733,1946183.5133596715
92,43905.77777777778,0.0,546163.7830092438,492677.2412080207,922222.4924872149
93,43905.77777777778,0.0,357815.1505376104,-216932.341492238,989435.900784467
94,43905.77777777778,0.0,187314.99663145712,132137.7091347829,1300707.6024394983
95,43905.77777777778,0.0,-248893.88032361004,-248893.88032361004,1247143.4347058814
96,43905.77777777778,0.0,-909763.374763028,-994481.2634435277,489894.9456087779
97,43905.77777777778,0.0,558188.046775588,437596.8617174508,1228683.976927947
98,43905.77777777778,0.0,137172.72462218459,137172.72462218459,1299050.591889722
99,43905.77777777778,0.0,775222.8133341373,479096.04506150587,1515678.7300695244
100,43905.77777777778,0.0,-1610633.914711059,-1610633.914711059,348339.32627154305
